[Wed Nov 28 18:19:34.067429 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52
[Wed Nov 28 18:19:34.067445 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 84
[Wed Nov 28 18:19:34.067558 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 85
[Wed Nov 28 18:19:34.067615 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 91
[Wed Nov 28 18:20:47.398420 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51
[Wed Nov 28 18:20:47.398451 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52
[Wed Nov 28 18:20:47.398464 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 84
[Wed Nov 28 18:20:47.398544 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 85
[Wed Nov 28 18:20:47.400216 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 87
[Wed Nov 28 18:20:47.400236 2018] [:error] [pid 6207] [client 200.194.24.135:60449] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 88
[Wed Nov 28 18:21:33.535818 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51
[Wed Nov 28 18:21:33.535854 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52
[Wed Nov 28 18:21:33.535868 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 84
[Wed Nov 28 18:21:33.535963 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 85
[Wed Nov 28 18:21:33.536816 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 87
[Wed Nov 28 18:21:33.536829 2018] [:error] [pid 457912] [client 200.194.24.135:60450] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 88
[Wed Nov 28 18:25:06.949551 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51
[Wed Nov 28 18:25:06.949579 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52
[Wed Nov 28 18:25:06.949596 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 84
[Wed Nov 28 18:25:06.949700 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 85
[Wed Nov 28 18:25:06.950531 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 87
[Wed Nov 28 18:25:06.950559 2018] [:error] [pid 457999] [client 52.114.128.37:12992] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 88
[Wed Nov 28 20:59:47.098734 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Undefined variable: message in /home/voz/App/controllers/Login.php on line 30, referer: https://voz.amovil.mx/
[Wed Nov 28 20:59:47.098761 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Undefined variable: extraHeader in /home/voz/App/controllers/Login.php on line 31, referer: https://voz.amovil.mx/
[Wed Nov 28 21:00:24.202182 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202215 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202236 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 184, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202403 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Only variables should be passed by reference in /home/voz/Core/Database.php on line 188, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202419 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/App/controllers/Login.php on line 47, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202430 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Undefined index: id_user in /home/voz/App/controllers/Login.php on line 78, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.202445 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Undefined index: name_customer in /home/voz/App/controllers/Login.php on line 80, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.319894 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.319929 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.319935 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  Undefined index: name_customer in /home/voz/Core/MasterDom.php on line 918, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.319939 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 917, referer: https://voz.amovil.mx/Login
[Wed Nov 28 21:00:24.319948 2018] [:error] [pid 10883] [client 201.141.9.252:4687] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Login
